17/06/2022 00:00:00,SANB3,B,200,14.21
22/06/2022 00:00:00,CXSE3,B,200,7.13
01/07/2022 00:00:00,SANB3,B,200,13.77
12/07/2022 00:00:00,SANB3,B,300,13.43
14/07/2022 00:00:00,BBAS3,B,100,32.27
04/08/2022 00:00:00,SANB3,B,100,13.60
29/08/2022 00:00:00,SANB3,B,54,14.41
06/09/2022 00:00:00,CXSE3,B,100,8.89
06/09/2022 00:00:00,CXSE3,B,34,8.91
27/09/2022 00:00:00,CXSE3,B,36,8.78
01/11/2022 00:00:00,CXSE3,B,30,8.90
01/11/2022 00:00:00,CXSE3,B,52,8.94
01/11/2022 00:00:00,CXSE3,B,300,8.90
01/11/2022 00:00:00,JHSF3,S,400,7.40
30/11/2022 00:00:00,BBAS3,B,40,35.46
13/12/2022 00:00:00,BBAS3,B,50,33.15
14/12/2022 00:00:00,BBSE3,S,31,31.26
14/12/2022 00:00:00,BBSE3,S,400,31.25
14/12/2022 00:00:00,BBAS3,B,9,30.39
14/12/2022 00:00:00,BBAS3,B,400,30.90
16/12/2022 00:00:00,CXSE3,B,100,7.61
16/12/2022 00:00:00,CXSE3,B,32,7.63
03/01/2023 00:00:00,TAEE11,B,83,34.19
04/01/2023 00:00:00,PSSA3,S,126,22.31
04/01/2023 00:00:00,PSSA3,S,58,22.30
04/01/2023 00:00:00,TAEE11,B,100,34.05
04/01/2023 00:00:00,TAEE11,B,20,34.06
05/01/2023 00:00:00,HCTR11,S,40,100.90
05/01/2023 00:00:00,BBAS3,B,100,33.12
05/01/2023 00:00:00,TAEE11,B,20,34.25
14/02/2023 00:00:00,CXSE3,B,100,8.44
03/03/2023 00:00:00,CXSE3,B,100,8.50
15/03/2023 00:00:00,CXSE3,B,90,8.40
